,loss,anomaly_loss,misuse_loss,anomaly_binary_accuracy,anomaly_auc,anomaly_precision,anomaly_recall,misuse_accIgnoreBenign,val_loss,val_anomaly_loss,val_misuse_loss,val_anomaly_binary_accuracy,val_anomaly_auc,val_anomaly_precision,val_anomaly_recall,val_misuse_accIgnoreBenign
0,2.9364027976989746,0.6285189390182495,2.3078837394714355,0.8367255330085754,0.5149549841880798,0.12598425149917603,0.0510978028178215,0.405588835477829,2.8048415184020996,0.5758093595504761,2.2290329933166504,0.7890288829803467,0.6318416595458984,0.0,0.0,0.7854942083358765
1,2.2960782051086426,0.4381764233112335,1.857901930809021,0.874731183052063,0.5092818140983582,0.0,0.0,0.3708582818508148,2.6216888427734375,0.5599784851074219,2.0617103576660156,0.7890288829803467,0.4644746482372284,0.0,0.0,0.7854942083358765
2,1.8882116079330444,0.3936516344547272,1.49455988407135,0.874731183052063,0.41320398449897766,0.0,0.0,0.3936127722263336,2.6248860359191895,0.5792615413665771,2.045624256134033,0.7890288829803467,0.3404104709625244,0.0,0.0,0.8136999011039734
3,1.6638095378875732,0.3778226673603058,1.2859869003295898,0.874731183052063,0.49252739548683167,0.0,0.0,0.6059880256652832,2.2974750995635986,0.5049037337303162,1.7925714254379272,0.7890288829803467,0.8296657800674438,0.0,0.0,0.8196254968643188
4,1.3862310647964478,0.33143702149391174,1.0547940731048584,0.8750812411308289,0.7691750526428223,1.0,0.002794411266222596,0.6151696443557739,2.1113193035125732,0.3350495994091034,1.7762701511383057,0.8235823512077332,0.9347298741340637,1.0,0.16378287971019745,0.8203365802764893
5,1.20258629322052,0.2573775053024292,0.9452085494995117,0.9176876544952393,0.799481987953186,1.0,0.3429141640663147,0.6155688762664795,1.8496923446655273,0.20969252288341522,1.6399999856948853,0.9542454481124878,0.9522017240524292,0.9934288859367371,0.7883384823799133,0.8205735683441162
6,1.0970767736434937,0.22382278740406036,0.873254120349884,0.9438415765762329,0.8399187922477722,0.9765517115592957,0.5652694702148438,0.628742516040802,1.7372244596481323,0.1699146032333374,1.567310094833374,0.9616961479187012,0.962500810623169,0.9925820231437683,0.8246029615402222,0.8208106160163879
7,1.028463363647461,0.20891910791397095,0.8195441961288452,0.9444916844367981,0.8640570640563965,0.9622266292572021,0.5796407461166382,0.6435129642486572,1.6786575317382812,0.15155738592147827,1.5271000862121582,0.9619461894035339,0.9685266017913818,0.9808120131492615,0.8359801173210144,0.8091964721679688
8,0.9646816849708557,0.19724425673484802,0.7674375772476196,0.943941593170166,0.8852147459983826,0.9505208134651184,0.5828343033790588,0.6746506690979004,1.612923502922058,0.13906560838222504,1.4738579988479614,0.9625962376594543,0.9736266136169434,0.9846411347389221,0.8357430696487427,0.7956861853599548
9,0.9005247354507446,0.18685545027256012,0.7136691808700562,0.9441916346549988,0.9056512117385864,0.9584158658981323,0.5796407461166382,0.7277445197105408,1.5399211645126343,0.13019123673439026,1.409730076789856,0.966196596622467,0.9775683879852295,0.9969144463539124,0.8423796892166138,0.807537317276001
10,0.8370582461357117,0.1752549111843109,0.6618032455444336,0.9483922719955444,0.9257549047470093,0.9823182821273804,0.598802387714386,0.7616766691207886,1.4432955980300903,0.12101351469755173,1.322282075881958,0.9671466946601868,0.9810489416122437,0.9969307780265808,0.8468831181526184,0.8345579504966736
11,0.748811662197113,0.15770655870437622,0.5911051034927368,0.9499424695968628,0.948291540145874,0.9607843160629272,0.6259481310844421,0.7972055673599243,1.3755942583084106,0.10927606374025345,1.2663183212280273,0.9696969985961914,0.985004186630249,0.979304850101471,0.8748518824577332,0.8146480321884155
12,0.6497240662574768,0.1300765573978424,0.519647479057312,0.9527429342269897,0.9743047952651978,0.9498270153999329,0.6574850082397461,0.8311377167701721,1.2744477987289429,0.09603452682495117,1.1784131526947021,0.9704470634460449,0.9881535768508911,0.9796404242515564,0.8781701922416687,0.8513866066932678
13,0.5490605235099792,0.09796646982431412,0.4510940909385681,0.9665949940681458,0.9872758388519287,0.9500244855880737,0.7740519046783447,0.845109760761261,1.1467218399047852,0.08827169984579086,1.0584499835968018,0.9764976501464844,0.9875940680503845,0.980271577835083,0.9068499803543091,0.8675041198730469
14,0.47477540373802185,0.07959584891796112,0.3951795995235443,0.9781467318534851,0.9868545532226562,0.9491746425628662,0.8722555041313171,0.8558882474899292,1.037545084953308,0.08615817874670029,0.9513868093490601,0.9778977632522583,0.9859710931777954,0.9804121255874634,0.9134865999221802,0.8748518824577332
15,0.4291048049926758,0.07249049097299576,0.3566143214702606,0.9824973940849304,0.9859115481376648,0.9618517160415649,0.8958083987236023,0.8606786131858826,0.9699931740760803,0.08361012488603592,0.8863831758499146,0.9790478944778442,0.9853186011314392,0.9797979593276978,0.9196491837501526,0.8812514543533325
16,0.3952395021915436,0.06832949817180634,0.3269100487232208,0.982997477054596,0.9850989580154419,0.9561735987663269,0.9057884216308594,0.8746507167816162,0.8818312287330627,0.08115226775407791,0.800679087638855,0.9792479276657104,0.9847829341888428,0.9803030490875244,0.920123279094696,0.8933396339416504
17,0.36474525928497314,0.06495493650436401,0.2997903525829315,0.9838975667953491,0.9852442145347595,0.9615222215652466,0.9077844023704529,0.8778443336486816,0.8590603470802307,0.0787760391831398,0.7802842259407043,0.9794479608535767,0.9857376217842102,0.9800806641578674,0.9213083386421204,0.8900213241577148
18,0.33873507380485535,0.0618007555603981,0.27693429589271545,0.9843476414680481,0.9860245585441589,0.9612794518470764,0.9117764234542847,0.8866267204284668,0.8240727186203003,0.07487612962722778,0.7491965889930725,0.9797479510307312,0.9873126149177551,0.9793866276741028,0.9234415888786316,0.9013984203338623
19,0.32192790508270264,0.058907486498355865,0.26302042603492737,0.9846476912498474,0.987057089805603,0.963322103023529,0.9121756553649902,0.8878243565559387,0.8013796210289001,0.07178749144077301,0.7295923233032227,0.9803480505943298,0.988041341304779,0.9794486165046692,0.9262858629226685,0.9037686586380005
20,0.3013259470462799,0.05551311746239662,0.2458128035068512,0.9850477576255798,0.9893234372138977,0.9618927836418152,0.9169660806655884,0.8958083987236023,0.8003906011581421,0.06807015836238861,0.7323204278945923,0.9806480407714844,0.9900522232055664,0.9804413318634033,0.9267598986625671,0.896420955657959
21,0.2884323000907898,0.05262623354792595,0.23580609261989594,0.9851477742195129,0.9900454878807068,0.9623115658760071,0.9173652529716492,0.8986027836799622,0.7912015318870544,0.06401856988668442,0.7271830439567566,0.9819982051849365,0.9911956191062927,0.9789029359817505,0.934818685054779,0.8757999539375305
22,0.27581924200057983,0.049146801233291626,0.2266724705696106,0.9855478405952454,0.9923070669174194,0.9624373912811279,0.9205588698387146,0.9037924408912659,0.785914957523346,0.0604095458984375,0.7255052924156189,0.9820482134819031,0.9922015070915222,0.9805777072906494,0.9333965182304382,0.9101682901382446
23,0.2609718143939972,0.045884374529123306,0.2150874137878418,0.986147940158844,0.9938477873802185,0.9622406363487244,0.9257485270500183,0.9073852300643921,0.7610775828361511,0.05767642706632614,0.7034012079238892,0.981248140335083,0.9933792948722839,0.9812218546867371,0.9288930892944336,0.9059018492698669
24,0.25269219279289246,0.04263749346137047,0.21005472540855408,0.9864479899406433,0.9949754476547241,0.9638704061508179,0.9265469312667847,0.9085828065872192,0.7788544297218323,0.05299874395132065,0.7258555889129639,0.9824482202529907,0.9944118857383728,0.9801390171051025,0.9357667565345764,0.8874140977859497
25,0.24043338000774384,0.039410416036844254,0.20102301239967346,0.9864479899406433,0.9961235523223877,0.9615702629089355,0.9289421439170837,0.9113772511482239,0.7566620111465454,0.05049801990389824,0.7061640024185181,0.9852985143661499,0.9951013326644897,0.9989829659461975,0.9312633275985718,0.8968949913978577
26,0.23348067700862885,0.036789670586586,0.19669097661972046,0.9885482788085938,0.9966481924057007,0.979763925075531,0.9277445077896118,0.913772463798523,0.7444730997085571,0.04608526825904846,0.6983878016471863,0.9867486953735352,0.9957783222198486,0.9977341294288635,0.9393221139907837,0.7750651836395264
27,0.23420868813991547,0.03376874327659607,0.2004399448633194,0.9911986589431763,0.9972896575927734,0.9970123767852783,0.93253493309021,0.904990017414093,0.6989359855651855,0.04264676198363304,0.6562893390655518,0.9868487119674683,0.9962646961212158,0.9974849224090576,0.9400331974029541,0.9229675531387329
28,0.2227289378643036,0.03174060210585594,0.19098834693431854,0.9913486838340759,0.99761563539505,0.997016191482544,0.9337325096130371,0.913772463798523,0.7505368590354919,0.04125966504216194,0.7092771530151367,0.9874987602233887,0.9963175058364868,0.9979924559593201,0.9426404237747192,0.886940062046051
